Você já fez compras de mercado online?,Você já desistiu de fazer uma compra online pelo aplicativo do BIG ou BIG Bompreço?,"Nessas ocasiões, o que fez você desistir da compra?",Você sentiu alguma dificuldade enquanto navegava pelo aplicativo? ,"Se sim, você sentiu dificuldade em qual parte do aplicativo?",Você tem algo a mais sobre a sua experiência para dividir conosco?,Submitted At,Token
TRUE,TRUE,"Não consegui ver o desconto do item no carrinho, O aplicativo não possui o método de pagamento que eu gostaria, Promoção divulgada não funcionou",TRUE,Login ou cadastro,,10/15/2021 15:46:25,g4q58xhnpumregg5096vn9dk23z1he9s
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 15:47:12,7y9s7fql71qrqfvp1077y9s7fqlb65ff
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 15:47:13,yghxdrqo36pmtpq8vyghxdr7s8c7b3y7
TRUE,TRUE,Prazo de entrega muito demorado,FALSE,,Tive experiência péssima de fazer um pedido e cancelarem ele por completo e outra vez demoraria mais de três dias para entregar. Absurdo!,10/15/2021 15:47:55,mhidu5n78zoujb7mz9mhidt0uodufoom
TRUE,TRUE,Prazo de entrega muito demorado,FALSE,,Precisa ter a opção de troca e a entrega precisa ser no próprio dia.,10/15/2021 15:47:43,sp8nz2glmv6ocjuef5fch7msp8nzi7iq
TRUE,TRUE,Não encontrei exatamente o produto que procurava,TRUE,Parte das ofertas,,10/15/2021 15:48:35,5o5nmyliwhkmex6bl5o5nmylx0zx7pxb
FALSE,FALSE,,,,Mais ofertas,10/15/2021 15:47:24,779dykmkouw54i19yl779dykt7857xzx
FALSE,FALSE,,,,Só tenho elogios,10/15/2021 15:47:57,gspl7566avkqu4ywufgspl78ewzwcuti
FALSE,FALSE,,,,"Adoro ir no mercado, pois sempre tem bastantes ofertas!",10/15/2021 15:47:45,0mb0buul20yxg5edgxx0mb0zm90gifdv
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Mais Promocoes,10/15/2021 15:47:59,r14fnksnv833pmtqr14fnub0gge9sufi
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,lojas físicas são mais baratas ...,10/15/2021 15:49:26,jv6oy9mepg5m9wrjv6oy9t1kxl5nyvg0
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,,10/15/2021 15:48:06,8amsi20k4n5bg5ykbl8amsszg6eljnur
TRUE,TRUE,"Prazo de entrega muito demorado, Os preços que encontrei não foram atrativos, Promoção divulgada não funcionou",FALSE,,,10/15/2021 15:47:29,hjut7sbnbqmy3v3otnhjut7sfn4ubna5
TRUE,TRUE,"O aplicativo não disponibiliza parcelamento das compras, Promoção divulgada não funcionou",TRUE,O aplicativo teve bugs e ao adicionar o produto da promoção ele não adicionava,"O aplicativo em si é de fácil uso ,porém tem alguns bugs ao adicionar ao carrinho ,e tbm não oferece parcelamento igual a loja física",10/15/2021 15:49:31,w8omui7o3mzr3ul4pe79w8omnk9vzmwd
TRUE,FALSE,,,,,10/15/2021 15:47:23,9zw9q1yv9stur9mh3ecu3zvmhk0bwvj9
FALSE,FALSE,,,,"Olha,eu tenho muito orgulho de comprar no Big,sou muito bem atendido,já usei os cupons de desconto,e não largo o Big por nada.",10/15/2021 15:48:47,10syxpof83izp08aafnrl5o10syxs00f
FALSE,TRUE,"Promoção divulgada não funcionou, O aplicativo é muito lento, Valor mínimo de compra é muito alto",TRUE,"Login ou cadastro, Tela de pagamento","Aplicativo lento, promoções não funcionam! Na hora de pagar da erro!",10/15/2021 15:48:07,vbvdno782k9t1ov94qhevbvdno7o8is3
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,Sugestão de pagamento em dinheiro nas entregas.,10/15/2021 15:48:08,ymuqx58na29cmrrp30rymuqxes7w8rqy
FALSE,FALSE,,,,Poderiam ser mais educados,10/15/2021 15:47:38,5rhg1i8tt3xw4drhelj5rhg1i81jfnuk
TRUE,FALSE,,,,"Sugiro incluir o filtro menor preço. Acho que facilita e agiliza na escolha dos produtos que não temos preferência de marca, e sim de preço.",10/15/2021 15:53:52,n5pg6wkam7tiyaxn5pg6wy6rg938odg4
TRUE,FALSE,,,,o app e bom,10/15/2021 15:47:46,xupvx7nhgt6omtlnppc30xupvz2czcj8
TRUE,FALSE,,,,"O aplicativo é complicado, o do pão de açucar é melhor.",10/15/2021 15:48:11,aiziesnwq9xmpg431kuybyaizieshta3
FALSE,TRUE,"Etapa de pagamento complicada ou longa, O aplicativo não disponibiliza parcelamento das compras",FALSE,,Não tenho,10/15/2021 15:50:28,1mhu15401i35xtjj41mhu1clc3ec3fbn
FALSE,FALSE,,,,Aplicativo top!!,10/15/2021 15:48:24,7klx834ho9qtzs7klxwsugctj98b9qus
TRUE,TRUE,"O aplicativo não atende minha região, Os preços que encontrei não foram atrativos, Promoção divulgada não funcionou",FALSE,,Preços normalmente não muito atrativos.,10/15/2021 15:51:51,gaktsyd9bkj2ys8u1de3vgaktshqmhqm
TRUE,FALSE,,,,"Até o momento, estou satisfeita com minhas compras online",10/15/2021 15:48:22,h6zlrnxyqoaqz9ucqnlh6zlrnxpr1mmb
TRUE,TRUE,"Não entregam, não dão satisfação do motivo, demoram pra devolver o valor da compra!",FALSE,,"Simplesmente horrível. Já desinstalei, uma verdadeira propaganda enganosa. Vendem, cobram, não entregam e o SAC é ineficiente.",10/15/2021 15:50:42,6d5m4ybagotifnlfcxz6d5m4ymxroytn
TRUE,TRUE,"Promoção divulgada não funcionou, O aplicativo não disponibiliza parcelamento das compras",FALSE,,Produtos em promoção nunca vem no pedido e sempre falta vários produtos por indisponibilidade deveriam tirar do site quando não cumprem o que prometem,10/15/2021 15:49:30,r1pkqvjr34sj8fpchr1pkq5f92qcxlb4
TRUE,TRUE,"Promoção divulgada não funcionou, O aplicativo não disponibiliza parcelamento das compras",FALSE,,Já comprei 3x e tive problemas em todas...nunca mais comprei.,10/15/2021 15:48:32,l4xollo1j0n5zur6dl4xollrpwy8xzzw
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,"Seria perfeito se aceitassem o vale alimentação da Sodexo, como aceitam na loja.",10/15/2021 15:49:38,p6iwbdd5v6uq1n0dp6iwbdcxr0l0jv5c
TRUE,TRUE,Problemas em compras anteriores,FALSE,,"Falta um canal de ajuda. Em uma de minhas compras não veio um item, em outra me mandaram itens mais caros do q havia escolhido",10/15/2021 15:51:58,92fd6bk0oy05bhoj0v92fd6bg8gfyepi
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,Muito facil de comprar. Como moro perto do Big as vezes prefiro ir direto na loja.,10/15/2021 15:49:54,q9hv5c9o3fsn3q9hv5c94rgvzny5fwoz
TRUE,TRUE,"Promoção divulgada não funcionou, Prazo de entrega muito demorado, O aplicativo não disponibiliza parcelamento das compras, O aplicativo é muito lento",TRUE,Página inicial,,10/15/2021 15:48:47,3tacr7spstk4k5zjgx8dbn53tacr7sp7
FALSE,FALSE,,,,Achei muito complicado na hora de usar o aplicativo no caixa da loja física do Big. Até a moça do caixa não sabia direito e chamou alguém para nos ajudar,10/15/2021 15:49:06,g2azac3ywxi9r7lvlrxg8g2azac356zj
TRUE,TRUE,Valor mínimo de compra é muito alto,FALSE,,,10/15/2021 15:49:21,wurxspbhgl70ryu82zwurxspdwmi5xnr
TRUE,FALSE,,,,"Só tenho agradecer,  muito bom aplicativo.",10/15/2021 15:48:51,6bc6g0au9jkj18z6bc6j442bhgzjb6w3
FALSE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,,10/15/2021 15:48:58,jz3eih64q0k4wfepgjjz3eihqf5o8rko
TRUE,FALSE,,,,"Gostei da experiência, mas achei alguns preços abusivos",10/15/2021 15:48:32,ajv679zop2tsga3f1ds9lfbp0icigdl3
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,Produtos não vieram corretos,10/15/2021 15:48:35,725y973anng2h7n0ta725ynehb8uwq80
TRUE,TRUE,Promoção divulgada não funcionou,TRUE,Listagem de produtos,,10/15/2021 15:48:49,8ap4m7mq11m2c9garrd5p6j8ap4m7ex0
TRUE,FALSE,,,,"Comprei com vcs e achei ótimo, veio tudo direitinho e no horário, fiquei muito satisfeita",10/15/2021 15:49:58,vtv4ksz9ddmtytd22xvtv4k0gj1fhknf
FALSE,TRUE,só não compro on-line porque não tem PIX,FALSE,,só não compro online porque não tem PIX,10/15/2021 15:50:43,thqyc7qyfxegqkyythqyc7qyzxmfgua9
TRUE,TRUE,"Não consegui navegar bem pelas categorias do aplicativo, Valor mínimo de compra é muito alto, Promoção divulgada não funcionou, Os preços que encontrei não foram atrativos",FALSE,,,10/15/2021 15:49:50,ggjrrhp8axtw9ie8rhnvggjrrhoakedp
FALSE,FALSE,,,,,10/15/2021 15:48:53,sj3dmesgilgt5voatk7ogxvsj3dmesdq
TRUE,FALSE,,,,"Gostei muito da experiência, atendimento e entrega!",10/15/2021 15:48:56,m4s4puavda67m8ui7xvpm4s4puvzlca0
TRUE,TRUE,O aplicativo não atende minha região,TRUE,Tela de pagamento,Toda a grade de produtos meio difícil de encontrar algumas coisas,10/15/2021 15:49:55,6j0jawbabtiuwqwga6j0j98y6d4chz36
TRUE,TRUE,"Não consegui ver o desconto do item no carrinho, Não entendi o preço total da compra, Promoção divulgada não funcionou",TRUE,"Carrinho, Tela de pagamento",,10/15/2021 15:49:24,h20f6a8nvtb3h5f3tgvh20fx2in73242
FALSE,FALSE,,,,Mais promoções,10/15/2021 15:50:02,5749v5r9f84zbbsxkpp5749v5ao0qadx
FALSE,TRUE,Prazo de entrega muito demorado,TRUE,Página inicial,Não,10/15/2021 15:49:54,glb4535yxm16p89jg9glb450rvl78u54
TRUE,TRUE,"Promoção divulgada não funcionou, O aplicativo não atende minha região",FALSE,,Atender a mais regiões,10/15/2021 15:49:53,zf2zw6c0crw4zstyardzf2zn0nvyoe5c
TRUE,FALSE,,,,Gosto dos preços do Big,10/15/2021 15:49:32,tpht1mncrn8svjhu1wtphtk3uesiicsc
TRUE,TRUE,Não consegui ver o desconto do item no carrinho,FALSE,,Não tenho,10/15/2021 15:49:33,yxz5ooa9q8ho9zjesyxz5oo8e7l3q2tr
FALSE,FALSE,,,,Preços absurdos de uma semana para outra,10/15/2021 15:49:43,96kthg1sae7do3na0196kthgn1n4axni
TRUE,FALSE,,,,muito bom e pratico.,10/15/2021 15:49:29,7gmcdz5ic6zymwqgml7gmcd4tvup2w81
FALSE,FALSE,,,,"Adorei a compra, sempre entregou no horário exato. Parabéns.",10/15/2021 15:50:07,ejxo13fzzvccuog8ejxo13fku8gw0o7l
FALSE,FALSE,,,,O atendimento nos caixa precisa ser mais rapido,10/15/2021 15:49:56,cbuqwe7fjoprsqycbuqucpp59rqc0dz2
TRUE,TRUE,"Prazo de entrega muito demorado, Promoção divulgada não funcionou, O aplicativo é muito lento",TRUE,Listagem de produtos,,10/15/2021 15:50:12,l858hxc6wnowfjqp0bh3166pl858hxcb
FALSE,FALSE,,,,"Alguns  caixas do Big no shoping barra deveriam receber um melhor treinamento , e as pessoas que trabalham como orientador ou não sei certo o cargo mas são aquelas que precisam liberar os caixas quando tem algum problema devem ser mais eficientes pois parece que estão fazendo um favor ao cliente , eu várias vezes quase desisti de uma compra pela demora para atendimento !",10/15/2021 15:57:27,a7jv6fgbvmzoa7jdsgry9vcp11v91hyb
FALSE,TRUE,Valor mínimo de compra é muito alto,FALSE,,,10/15/2021 15:49:40,rkdq9v8nyomfzcrrkdvveaextxug1amt
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,"Por favor, coloquem a opção de pagar com vale alimentação e com débito, isso faz muita falta. Atualmente só é possível pagar no cartão de crédito.",10/15/2021 15:50:37,ppo6854sla9ic79ttx6ytppo68sxcsrt
TRUE,FALSE,,,,Mercado excelente,10/15/2021 15:49:34,qlt3ru75jl1sbki8nclqlt30leitcsem
TRUE,FALSE,,,,"Gostei de fazer a compra pelo app, achei muito prático e rápido, a retirada é super agilizada, não levou nem 5 minutos. Excelente.",10/15/2021 15:50:50,0elk5o117dhdf0f16c0elk5o8p545xxm
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,"Realizei algumas compras pelo APP, porém a loja entra em contato cancelando o pedido devido não ter o produto disponível na loja.",10/15/2021 15:51:37,vtqldcfceiko87juvtqldv9aghpyd2kg
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,,10/15/2021 15:49:58,zw5wt5u2zqoix8h03zw5wtk818hewdat
TRUE,FALSE,,,,"Excelente aplicativo, entrega rápida, só elogios para esta ótima ferramenta.",10/15/2021 15:51:26,8gyds7c3438s8gypxuqzti6f84il56d7
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,,10/15/2021 15:51:32,gg1xkhj2mnailv2vzebjgg1xkhth238a
TRUE,TRUE,"Os cupons de desconto que atraem os clientes. O big dá cupons, mas exige um valor muito alto de compra o que afasta os clientes",FALSE,,Faltam cupons de desconto com compras pequenas e que sejam disponíveis em local de fácil acesso.,10/15/2021 15:51:34,g0j04e5hfptdmb6dg0j979bjc16q9a5v
FALSE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,TRUE,Listagem de produtos,"Minha opinião é que deveria ter pagamento no cartão de débito, só não finalizei meu rancho pq não consegui pagar",10/15/2021 15:52:11,ibc3n74ouf70e1cbi0lde9f3uibc3n74
FALSE,FALSE,,,,Falta ponto de coleta de pilhas … legislativo,10/15/2021 15:50:19,qrqx0f0d5qyf9fu2mqrqx0f0tpfa46rx
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,Não tenho,10/15/2021 15:50:37,l79szb8hfdetdm2djl79sz8j8y9ilaov
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Não consegui ver o desconto do item no carrinho, Os preços que encontrei não foram atrativos",TRUE,"Listagem de produtos, Tela de pagamento","Deixar o App mais fluido, também por a opção de retirar na loja sem custo (com uma compra mínima de $50), por cupons mais atrativos, de produtos mais consumidos e também cupom para o Posto de Gasolina como ocorre no Carrefour.",10/15/2021 15:53:18,0228l4bw11wlwnenh022pzvzz36fk4zy
TRUE,FALSE,,,,Reclamação procon e reclame aqui cupom e cancelamento de compra,10/15/2021 15:50:37,4cv53q67uc4y4cv5l3kktjy0oxjgh61o
TRUE,TRUE,Não consegui ver o desconto do item no carrinho,FALSE,,Mais cupons para desconto.,10/15/2021 15:51:15,i3oj942aw221umnfmtwki3ovck6w6obu
TRUE,TRUE,"O aplicativo não disponibiliza parcelamento das compras, O aplicativo não possui o método de pagamento que eu gostaria",FALSE,,O cupom de desconto que aparecia na tela inicial não funciona na hora de pagamento e também não parcela a compra. E na loja física parcela.,10/15/2021 15:52:13,3j3aqnxykogshd94h3j3a1nhzkdmwf75
FALSE,FALSE,,,,Não,10/15/2021 15:50:58,2mgucvpsvnjk2p2mgua1j8s0qscio5mt
TRUE,TRUE,"Valor mínimo de compra é muito alto, Promoção divulgada não funcionou, Prazo de entrega muito demorado",FALSE,,"Tempo de entrega muito longo, muitas vezes o anunciando não tem na loja!",10/15/2021 15:52:28,tfe9r6yvkumm91gu68lftfe9r6kbme11
TRUE,TRUE,O aplicativo não atende minha região,FALSE,,Fazer entrega no senador Canedo .,10/15/2021 15:51:16,uhlhc1xp3awl2gwytyvriau5evuhlhc1
TRUE,TRUE,"Os preços que encontrei não foram atrativos, O aplicativo não disponibiliza parcelamento das compras, Não consegui navegar bem pelas categorias do aplicativo, Não encontrei exatamente o produto que procurava",TRUE,Listagem de produtos,,10/15/2021 15:52:17,vp4ju82ih2j3zo5bdk8l3vp4juhi6jzm
FALSE,FALSE,,,,,10/15/2021 15:51:05,p8r7e2gvrw9djyquf5upmpp8r7e2gh44
FALSE,FALSE,,,,,10/15/2021 15:50:58,6gojm9n1616610i7ge6gojm9l788uqj4
TRUE,FALSE,,,,,10/15/2021 15:50:55,2a5vgaulixkwu6890mcg2a5vgauae2ud
TRUE,FALSE,,,,Estou satisfeito,10/15/2021 15:51:38,3aaosi9rabbrawgowh2ttu3aaosicht5
TRUE,TRUE,Não consegui ver o desconto do item no carrinho,FALSE,,Só as promoções da tv as vezes não tem no aplicativo,10/15/2021 15:51:54,jvsmlghvexlzpf2bjvsmlgcr1sosqtvd
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 15:51:34,1jid8yil57zwm1jid8ycq1xl5gyh5ntg
TRUE,TRUE,"O aplicativo é muito lento, Não encontrei exatamente o produto que procurava, Etapa de pagamento complicada ou longa",TRUE,"Tela de pagamento, Login ou cadastro",Já efetuei a compra e não veio o produto indicado na nota. Simplesmente paguei e não recebi,10/15/2021 15:52:46,1i5jtu1kv0h2wzqmf1i5jtudln9j0dux
TRUE,FALSE,,,,Bom sim isso mesmo,10/15/2021 15:51:22,11w6nmcijnlcx23sy211w6ngrndmb9jd
TRUE,FALSE,,,,Foi uma ótima idéia o aplicativo com os descontos.,10/15/2021 15:52:17,0x9ium8podhh8y5l7744vvok0x9ium8p
FALSE,FALSE,,,,,10/15/2021 15:51:34,dsypk2y7h7tv9cr9mdsypkwnevbgwmtz
TRUE,FALSE,,,,No momento não,10/15/2021 15:52:05,a23u7w5ydic14a23u0114alm9l3dlve6
FALSE,TRUE,Valor mínimo de compra é muito alto,TRUE,Listagem de produtos,a divisão dos produtos poderia ser mais facil,10/15/2021 15:52:19,9ocuwlhcjso8d5kp9ocuwlhl3u8kncco
TRUE,FALSE,,,,"Veio tudo sempre certinho e bem embalado e fechado, adorei a praticidade de não precisar sair de casa, indiquei o app para toda família e amigos",10/15/2021 15:52:52,nnsdhhqsy5w17wbc0nnsdhhqcy71162p
TRUE,TRUE,Valor mínimo de compra é muito alto,TRUE,Não senti,Por falta de consideração com o cliente não comprarei mais!!!,10/15/2021 15:58:53,i8pawa2cqwehgv4qowi8pawa25ft358t
TRUE,FALSE,,,,incluir produtos veganos.,10/15/2021 15:52:17,zxkq6ffk1of3twt8zxkq6r4cyfkbe7dp
TRUE,FALSE,,,,Não! Tudo ok,10/15/2021 15:51:56,hfssrqciy04m89zqvhfssrq9zhl9rz44
TRUE,TRUE,"Prazo de entrega muito demorado, Os preços que encontrei não foram atrativos, O aplicativo não disponibiliza parcelamento das compras",TRUE,Listagem de produtos,,10/15/2021 15:53:24,vk7unre4q7utvm4bf3fvk7unreu607jd
TRUE,FALSE,,,,,10/15/2021 15:51:57,lcn8gv4dlxo2dnvczllcn8g4a0t7gxvy
TRUE,FALSE,,,,Estou  satisfeito,10/15/2021 15:52:19,3yxbq0cjqff7vfdoz3yxbqjshr3az017
FALSE,FALSE,,,,"Acho que está muito ampla a quantidade de produtos e vc ter que identificar para receber a promoção! Isso desestimula o cliente que vê a oferta e não sabe se precisa entrar no aplicativo e seleciona-lá para ter direito! Dessa forma, outros mercados, como o Extra que eu iria anteriormente, apresentam a oferta na prateleira sem a burocracia de selecionar no aplicativo para ter direito!",10/15/2021 15:55:11,t3bcqpfvi8qyqhvzajdzt3bcqf2xau6y
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Gosto  de comprar online só não compro se o preço não for bom,10/15/2021 15:52:57,tlv67pfk03zltlv6es1it7jbblgle673
TRUE,TRUE,Moro perto do supermercado e achei mais fácil ir lá buscar,FALSE,,,10/15/2021 15:53:02,ms2bwo3jufm3xu22mqms2bwobwz0n1db
